asset_class,symbol,quantity,price,price_update_date,user_roi,roi,roi_update_date,description,multi,multi_update_date
Cash,unlisted,162.55,1,2021-02-28 09:22:13.393975,0,0,2021-02-27 21:44:08.312531,HSA-MM,,
Fixed Income: US,BND,156,84.9899978637695,2021-03-24 22:25:36.068697,0.0439,0.053897586240511,2021-03-07 19:34:43.757150,Total US Bond,,
Fixed Income: Developed exUS,BNDX,237,57.3600006103516,2021-03-24 22:25:36.238688,0.042,0.042696572922613,2021-03-07 19:34:44.072685,Total International Bond,,
Equities: US,VTI,79,202.330001831055,2021-03-24 22:25:36.400124,0.0988,0.212603748657265,2021-03-07 19:34:44.343422,Total US Stock Market,,
Equities: Developed exUS,VXUS,255,61.6300010681152,2021-03-24 22:25:36.573936,0.046,0.068174672977021,2021-03-07 19:34:44.680865,Total International Stock Market,,
Equities: US,TSLA,9,630.27001953125,2021-03-24 22:25:36.750141,0.1,11.6206001756415,2021-03-07 19:48:32.674929,Tesla,,
